"","Species","D","Dplus","EDplus","sd.Dplus","ll_Dplus","ul_Dplus","Lambda","z(Delta+)","Pr(>|z|)","ELambda","sd.Lambda"
"815","Halysioncum pigmentatum",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"816","Halysioncum raschii",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"817","Halysioncum rayallemangi",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"818","Halysioncum reginae",3,38.8888888888889,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,246.913580246914,-4.43678417321472,9.13127643578341e-06,165.5172,142.884427232729
"819","Halysioncum rhinoptera",2,33.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-3.31897801724439,0.000903475414797692,165.5172,193.408765709372
"820","Halysioncum vojtai",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"821","Halysiorhynchus macrocephalus",16,51.6666666666667,76.2082851703737,2.57513031456249,71.0580245412488,81.3585457994987,205.555555555556,-9.53024332979308,1.56914995535419e-21,165.5172,46.9307933474142
"822","Hamaticolax spinulus",8,45.2380952380952,76.2082851703737,3.95545847983292,68.2973682107079,84.1192021300396,116.213151927437,-7.82973455294282,4.88901091227698e-15,165.5172,66.5371907529903
"823","Healyum harenamica",3,50,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,555.555555555556,-3.11581955865406,0.00183434478594995,165.5172,142.884427232729
"824","Healyum pulvis",3,50,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,555.555555555556,-3.11581955865406,0.00183434478594995,165.5172,142.884427232729
"825","Helicometrina nimia",79,57.7896786757546,76.2082851703737,1.05907559465827,74.0901339810572,78.3264363596903,136.947939198565,-17.3912103985006,9.61814181003549e-68,165.5172,17.9229703902915
"826","Heliocotyle ewingi",2,16.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-4.60915556654295,4.04307733983916e-06,165.5172,193.408765709372
"827","Heliocotyle kartasi",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"828","Hemionchos major",3,50,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,555.555555555556,-3.11581955865406,0.00183434478594995,165.5172,142.884427232729
"829","Hemionchos mobulae",6,38.8888888888889,76.2082851703737,4.81634947650034,66.5755862173731,85.8409841233744,209.876543209877,-7.74848180423192,9.29976929805865e-15,165.5172,80.0147104604748
"830","Hemionchos striatus",6,45.5555555555556,76.2082851703737,4.81634947650034,66.5755862173731,85.8409841233744,350.617283950618,-6.36430760773844,1.96172642045366e-10,165.5172,80.0147104604748
"831","Hemipristicola gunterae",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"832","Hemiurus levinseni",38,62.8496917970602,76.2082851703737,1.58057575703618,73.0471336563014,79.3694366844461,213.421851888575,-8.45172609654785,2.87027334402146e-17,165.5172,27.4117171175235
"833","Hepatoxylon megacephalum",30,62.7586206896552,76.2082851703737,1.80095864455405,72.6063678812656,79.8102024594818,99.6697053771959,-7.46805848173651,8.13866745316546e-14,165.5172,32.0365754861272
"834","Hepatoxylon trichiuri",39,71.0751237067027,76.2082851703737,1.5581839805066,73.0919172093605,79.3246531313869,174.747542813457,-3.29432308885771,0.000986590264675875,165.5172,27.0546372167442
"835","Heterocotyle capapei",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"836","Heterocotyle chinensis",3,27.7777777777778,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,61.7283950617285,-5.75774878777537,8.52430834351451e-09,165.5172,142.884427232729
"837","Heterocotyle elliptica",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"838","Heterocotyle forcifera",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"839","Heterocotyle granulatae",2,33.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-3.31897801724439,0.000903475414797692,165.5172,193.408765709372
"840","Heterocotyle minima",5,58.3333333333333,76.2082851703737,5.50266560102197,65.2029539683298,87.2136163724177,125,-3.24841688248703,0.00116049108080092,165.5172,89.9565888145423
"841","Heterocotyle mokhtarae",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"842","Heterocotyle pastinacae",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"843","Heterocotyle robusta",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"844","Heterocotyle scotti",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"845","Heterocotyle similis",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"846","Heterocotyle striata",2,33.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-3.31897801724439,0.000903475414797692,165.5172,193.408765709372
"847","Heteronchocotyle gymnurae",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"848","Heteronchocotyle leucas",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"849","Heteronybelinia australis",6,61.1111111111111,76.2082851703737,4.81634947650034,66.5755862173731,85.8409841233744,209.876543209876,-3.13456781592032,0.00172107467508328,165.5172,80.0147104604748
"850","Heteronybelinia elongata",2,83.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,0.551554630651285,0.581253527687782,165.5172,193.408765709372
"851","Heteronybelinia estigmena",25,63,76.2082851703737,1.99397671175479,72.2203317468642,80.1962385938833,440.259259259259,-6.6240919929049,3.49389136518306e-11,165.5172,36.9810788816174
"852","Heteronybelinia eureia",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"853","Heteronybelinia heteromorphi",4,44.4444444444444,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,61.7283950617293,-4.84809320376608,1.24653835572909e-06,165.5172,102.539044612137
"854","Heteronybelinia mattisi",4,77.7777777777778,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,61.7283950617284,0.239550579193821,0.810678681326376,165.5172,102.539044612137
"855","Heteronybelinia minima",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"856","Heteronybelinia nipponica",8,68.4523809523809,76.2082851703737,3.95545847983292,68.2973682107079,84.1192021300396,284.50963718821,-1.96081042375659,0.0499011416388256,165.5172,66.5371907529903
"857","Heteronybelinia overstreeti",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"858","Heteronybelinia palliata",5,60,76.2082851703737,5.50266560102197,65.2029539683298,87.2136163724177,122.222222222223,-2.94553337338244,0.00322398365658823,165.5172,89.9565888145423
"859","Heteronybelinia perideraeus",9,59.2592592592593,76.2082851703737,3.66300240684299,68.8822803566878,83.5342899840597,161.179698216735,-4.62708566050937,3.70847158034073e-06,165.5172,63.5036375640046
"860","Heteronybelinia robusta",6,62.2222222222222,76.2082851703737,4.81634947650034,66.5755862173731,85.8409841233744,54.3209876543206,-2.90387211650474,0.00368578677014566,165.5172,80.0147104604748
"861","Heteronybelinia yamagutii",5,68.3333333333333,76.2082851703737,5.50266560102197,65.2029539683298,87.2136163724177,191.666666666665,-1.43111582785947,0.152397021756168,165.5172,89.9565888145423
"862","Heterosphyriocephalus encarnae",3,66.6666666666667,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,0,-1.13437263681308,0.256638272019242,165.5172,142.884427232729
"863","Heterosphyriocephalus oheulumiae",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"864","Heterosphyriocephalus tergestinus",7,70.6349206349206,76.2082851703737,4.32629458636138,67.555695997651,84.8608743430965,76.8455530360297,-1.288253590734,0.197657702475325,165.5172,71.9740222480321
"865","Hexabothrium appendiculatum",8,57.7380952380952,76.2082851703737,3.95545847983292,68.2973682107079,84.1192021300396,227.82029478458,-4.66954463722716,3.01868105539318e-06,165.5172,66.5371907529903
"866","Hexabothrium canicula",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"867","Hexabothrium musteli",2,16.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-4.60915556654295,4.04307733983916e-06,165.5172,193.408765709372
"868","Hexacanalis abruptus",3,61.1111111111111,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,61.7283950617284,-1.79485494409341,0.0726768140998481,165.5172,142.884427232729
"869","Hexacanalis folifer",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"870","Hexacanalis pteroplateae",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"871","Hexacanalis sasoonensis",3,55.5555555555555,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,246.913580246914,-2.45533725137374,0.0140752470323139,165.5172,142.884427232729
"872","Hexacanalis smythii",2,33.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-3.31897801724439,0.000903475414797692,165.5172,193.408765709372
"873","Hexacanalis thapari",2,33.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-3.31897801724439,0.000903475414797692,165.5172,193.408765709372
"874","Hexacanalis yamagutii",2,16.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-4.60915556654295,4.04307733983916e-06,165.5172,193.408765709372
"875","Hexacanalis zugeis",2,33.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-3.31897801724439,0.000903475414797692,165.5172,193.408765709372
"876","Hispidorhynchus aetobatidis",4,58.3333333333333,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,347.222222222223,-2.72824162753279,0.00636729488500517,165.5172,102.539044612137
"877","Hispidorhynchus australiensis",4,50,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,555.555555555556,-4.00015257327276,6.33016582943079e-05,165.5172,102.539044612137
"878","Hispidorhynchus paulinae",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"879","Histodytes microocellatus",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"880","Hornelliella annandalei",7,64.2857142857143,76.2082851703737,4.32629458636138,67.555695997651,84.8608743430965,34.0136054421773,-2.7558388932287,0.00585418240593374,165.5172,71.9740222480321
"881","Hornelliella palasoorahi",3,55.5555555555555,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,246.913580246914,-2.45533725137374,0.0140752470323139,165.5172,142.884427232729
"882","Hornellobothrium cobraformis",4,44.4444444444444,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,154.32098765432,-4.84809320376608,1.2465383557291e-06,165.5172,102.539044612137
"883","Hornellobothrium extensivum",2,16.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-4.60915556654295,4.04307733983916e-06,165.5172,193.408765709372
"884","Hornellobothrium kolossakotta",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"885","Hornellobothrium najaforme",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"886","Huffmanela carcharhinae",2,16.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-4.60915556654295,4.04307733983916e-06,165.5172,193.408765709372
"887","Huffmanela lata",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"888","Hyperandrotrema cetorhini",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"889","Hyperandrotrema walterboegeri",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"890","Hysterothylacium aduncum",17,69.7303921568627,76.2082851703737,2.48547239245247,71.2373403854688,81.1792299552787,119.290056708959,-2.60630254159417,0.00915255789090611,165.5172,44.2409377232809
"891","Hysterothylacium hospitum",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"892","Iobothrium elegans",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"893","Janinecaira darkthread",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"894","Kotorella pronosoma",25,50.5,76.2082851703737,1.99397671175479,72.2203317468642,80.1962385938833,328.453703703704,-12.8929716274115,4.9306619671269e-38,165.5172,36.9810788816174
"895","Kotorelliella jonesi",3,33.3333333333333,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,0,-5.09726648049504,3.44593092034148e-07,165.5172,142.884427232729
"896","Kowsalyabothrium indirapriyadarshinii",2,33.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-3.31897801724439,0.000903475414797692,165.5172,193.408765709372
"897","Kroeyerina deetsorum",2,33.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-3.31897801724439,0.000903475414797692,165.5172,193.408765709372
"898","Kroeyerina elongata",4,47.2222222222222,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,38.5802469135806,-4.42412288851942,9.68348912403187e-06,165.5172,102.539044612137
"899","Kroeyerina mobulae",7,49.2063492063492,76.2082851703737,4.32629458636138,67.555695997651,84.8608743430965,462.3330813807,-6.24135398665361,4.33799268267443e-10,165.5172,71.9740222480321
