Host,phylumH,classH,orderH,familyH,genusH,YearH,Parasite,phylumP,classP,orderP,familyP,genusP,YearP
Nebrius ferrugineus,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Nebrius,1831,Pachybothrium hutsoni,Platyhelminthes,Cestoda,Tetraphyllidea,Balanobothriidae,Pachybothrium,1911
Ginglymostoma cirratum,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,1788,Pedibothrium globicephalum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Pedibothrium,1909
Ginglymostoma cirratum,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,1788,Pedibothrium longispine,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Pedibothrium,1909
Sphyrna mokarran,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,1837,Phoreiobothrium manirei,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Phoreiobothrium,1996
Squalus acanthias,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,1758,Trilocularia acanthiaevulgaris,Platyhelminthes,Cestoda,Tetraphyllidea,Tetraphyllidea incertae sedis,Trilocularia,1867
Squalus acanthias,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,1758,Trilocularia acanthiaevulgaris,Platyhelminthes,Cestoda,Tetraphyllidea,Tetraphyllidea incertae sedis,Trilocularia,1867
Isurus oxyrinchus,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Isurus,1810,Gymnorhynchus isuri,Platyhelminthes,Cestoda,Trypanorhyncha,Gymnorhynchidae,Gymnorhynchus,1959
Megachasma pelagios,Chordata,Elasmobranchii,Lamniformes,Megachasmidae,Megachasma,1983,Mixodigma leptaleum,Platyhelminthes,Cestoda,Trypanorhyncha,Mixodigmatidae,Mixodigma,1982
Myliobatis californica,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1865,Acanthobothrium holorhini,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1953
Myliobatis californica,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1865,Acanthobothrium parviuncinatum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1954
Gymnura marmorata,Chordata,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,1864,Acanthobothrium parviuncinatum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1954
Triakis semifasciata,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Triakis,1855,Acanthobothrium parvum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1972
Heterodontus francisci,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,1855,Acanthobothrium cestraciontis,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1934
Mustelus henlei,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1863,Calliobothrium verticillatum,Platyhelminthes,Cestoda,Tetraphyllidea,Calliobothriidae,Calliobothrium,1819
Mustelus californicus,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1864,Calliobothrium verticillatum,Platyhelminthes,Cestoda,Tetraphyllidea,Calliobothriidae,Calliobothrium,1819
Mustelus californicus,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1864,Orygmatobothrium musteli,Platyhelminthes,Cestoda,Phyllobothriidea,Phyllobothriidae,Orygmatobothrium,1850
