Host,phylumH,classH,orderH,familyH,genusH,YearH,Parasite,phylumP,classP,orderP,familyP,genusP,YearP
Pastinachus sephen,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasybatus,1775,Caulobothrium pedunculatum,Platyhelminthes,Cestoda,Tetraphyllidea,Tetraphyllidea incertae sedis,Caulobothrium,2019
Myliobatis tobijei,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1854,Caulobothrium tobijei,Platyhelminthes,Cestoda,Tetraphyllidea,Tetraphyllidea incertae sedis,Caulobothrium,1934
Myliobatis tobijei,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1854,Caulobothrium tobijei,Platyhelminthes,Cestoda,Rhinebothriidea,Echeneibothriidae,Echeneibothrium,1934
Chiloscyllium punctatum,Chordata,Elasmobranchii,Orectolobiformes,Hemiscylliidae,Chiloscyllium,1838,Caulopatera pagei,Platyhelminthes,Cestoda,Phyllobothriidea,Phyllobothriidae,Caulopatera,2010
Stegostoma fasciatum,Chordata,Elasmobranchii,Orectolobiformes,Stegostomatidae,Stegostoma,1783,Cephalobothrium stegostomi,Platyhelminthes,Cestoda,Lecanicephalidea,Cephalobothriidae,Cephalobothrium,1993
Stegostoma fasciatum,Chordata,Elasmobranchii,Orectolobiformes,Stegostomatidae,Stegastoma,1783,Cephalobothrium stegostomi,Platyhelminthes,Cestoda,Lecanicephalidea,Cephalobothriidae,Cephalobothrium,1993
Stegostoma fasciatum,Chordata,Elasmobranchii,Orectolobiformes,Stegostomatidae,Stegostoma,1783,Cephalobothrium stegostomi,Platyhelminthes,Cestoda,Lecanicephalidea,Cephalobothriidae,Cephalobothrium,1993
Taeniura lymma,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Taeniura,1775,Cephalobothrium taeniurai,Platyhelminthes,Cestoda,Lecanicephalidea,Cephalobothriidae,Cephalobothrium,1986
Taeniura lymma,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Taeniura,1775,Cephalobothrium taeniurai,Platyhelminthes,Cestoda,Lecanicephalidea,Cephalobothriidae,Cephalobothrium,1986
Cetorhinus maximus,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,1765,Cetorhinicola acanthocapax,Platyhelminthes,Cestoda,Trypanorhyncha,Rhinoptericolidae,Cetorhinicola,1988
Squalus acanthias,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,1758,Chimaerarhynchus rougetae,Platyhelminthes,Cestoda,Trypanorhyncha,Gymnorhynchidae,Chimaerarhynchus,1989
Rhinochimaera atlantica,Chordata,Holocephali,Chimaeriformes,Rhinochimaeridae,Rhinochimaera,1909,Chimaerocestos prudhoei,Platyhelminthes,Cestoda,Phyllobothriidea,Chimaerocestidae,Chimaerocestos,1984
Merluccius hubbsi,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,1933,Clestobothrium cristinae,Platyhelminthes,Cestoda,Bothriocephalidea,Bothriocephalidae,Clestobothrium,2011
Bathygadus macrops,Chordata,Actinopteri,Gadiformes,Macrouridae,Bathygadus,1885,Clestobothrium gibsoni,Platyhelminthes,Cestoda,Bothriocephalidea,Bothriocephalidae,Clestobothrium,2005
