papers,host,parasite,index
"PALM, H.W. (2004) [16112]",Ginglymostoma cirratum,Pseudolacistorhynchus noodti,16112
"SHULER, R.H. (1938) [16171]",Ginglymostoma cirratum,Tentacularia lineata,16171
"PALM, H.W. (2004) [16112]",Ginglymostoma cirratum,Zygorhynchus ginglymostomatis,16112
"BRUCE, N.L. et.al. (1994) [17029] (used parasite: Terranova ginglymostomae )",Ginglymostoma cirratum,Euterranova ginglymostomae,17029
"ADAMSON, M.L. et.al. (1991) [7593]",Ginglymostoma cirratum,Lockenloia sanguinis,7593
"MORAVEC, F. et.al. (1998) [21483]",Ginglymostoma cirratum,Mexiconema cichlasomae,21483
"CRESSEY, R.F. (1967) [16599]",Ginglymostoma cirratum,Nesippus orientalis,16599
"CRESSEY, R.F. (1970) [16589]",Ginglymostoma cirratum,Nesippus orientalis,16589
"CRESSEY, R.F. (1970) [16589]",Ginglymostoma cirratum,Pandarus sinuatus,16589
"MOREIRA, P.S. et.al. (1978) [23898]",Ginglymostoma cirratum,Rocinela signata,23898
"SAWYER, R.T. et.al. (1975) [25687] (used parasite: Stibarobdella macrothela )",Ginglymostoma cirratum,Pontobdella macrothela,25687
"SAWYER, R.T. et.al. (1975) [17101] (used parasite: Stibarobdella macrothela )",Ginglymostoma cirratum,Pontobdella macrothela,17101
"WILLIAMS, E.H. (1982) [25688] (used parasite: Stibarobdella macrothela )",Ginglymostoma cirratum,Pontobdella macrothela,25688
"IVAN MERLO-SERNA, A. et.al. (2016) [23771] (used parasite: Stibarobdella macrothela )",Ginglymostoma cirratum,Pontobdella macrothela,23771
"DEL MORAL-FLORES, L.F. et.al. (2015) [22434]",Ginglymostoma unami,Pedibothrium brevispine,22434
"DEL MORAL-FLORES, L.F. et.al. (2015) [22434]",Ginglymostoma unami,Pedibothrium manteri,22434
"NEIFAR, L. et.al. (2001) [18057] ( used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Mehracotyle insolita,18057
"BEVERIDGE, I. et.al. (2004) [7390] ( used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Dollfusiella elongata,7390
"PALM, H.W. (2004) [16112] ( used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Dollfusiella elongata,16112
"NEIFAR, L. et.al. (2001) [7628] (used parasite: Macrobothridium syrtensis | used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Echinobothrium syrtensis,7628
"TYLER, G.A. (2006) [16430] ( used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Echinobothrium syrtensis,16430
"CAIRA, J.N. et.al. (2013) [19536] ( used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Echinobothrium syrtensis,19536
"BEVERIDGE, I. et.al. (2004) [7390] ( used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Parachristianella monomegacantha,7390
"PALM, H.W. (2004) [16112] ( used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Parachristianella monomegacantha,16112
"SPRENT, J.F.A. (1990) [21225] ( used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Paranisakis squatinae,21225
"RAIBAUT, A. et.al. (1998) [16609] ( used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Eudactylina rhinobati,16609
"RAIBAUT, A. et.al. (1998) [16609] ( used host: Rhinobatos cemiculus)",Glaucostegus cemiculus,Perissopus dentatus,16609
"CHISHOLM, L.A. et.al. (1997) [17439] ( used host: Rhinobatos granulatus)",Glaucostegus granulatus,Neoheterocotyle rhinobatis,17439
"WILLIAMS, H.H. (1969) [16448] ( used host: Rhinobatus philippi)",Glaucostegus granulatus,Acanthobothrium benedeni,16448
"SARADA, S. et.al. (1993) [8183] ( used host: Rhinobatus granulatus)",Glaucostegus granulatus,Acanthobothrium satyanarayanaraoi,8183
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Glaucostegus granulatus,Acanthobothrium satyanarayanaraoi,28741
"SRIVASTAV, A.K. et.al. (1988) [16415] ( used host: Rhinobatos granulatus)",Glaucostegus granulatus,Anthobothrium sasoonense,16415
"PRAMANIK, P.B. et.al. (2005) [16371] ( used host: Rhinobatus granulatus)",Glaucostegus granulatus,Cephalobothrium gogadevensis,16371
"SUBHAPRADHA, C.K. (1955) [16423] ( used host: Rhinobatus granulatus)",Glaucostegus granulatus,Echeneibothrium filamentosum,16423
"SUBRAMANIAM, M.K. (1940) [16426] ( used host: Rhinobatus granulatus)",Glaucostegus granulatus,Echeneibothrium oligotesticularis,16426
"KHALIL, L.F. et.al. (1989) [16343] (used parasite: Macrobothridium rhynchobati | used host: Rhynchobatus granulatus)",Glaucostegus granulatus,Echinobothrium rhynchobati,16343
"TYLER, G.A. (2006) [16430] (used parasite: Macrobothridium rhynchobati | used host: Rhinobatus granulatus)",Glaucostegus granulatus,Echinobothrium rhynchobati,16430
"CAIRA, J.N. et.al. (2013) [19536]",Glaucostegus granulatus,Echinobothrium rhynchobati,19536
"MHAISEN, F.T. et.al. (2013) [24101]",Glaucostegus granulatus,Echinobothrium rhynchobati,24101
"SUBHAPRADHA, C.K. (1955) [16423] (used parasite: Cephalobothrium rhinobatidis | used host: Rhinobatus granulatus)",Glaucostegus granulatus,Floriparicapitus rhinobatidis,16423
"CIELOCHA, J.J. et.al. (2014) [21566]",Glaucostegus granulatus,Floriparicapitus rhinobatidis,21566
"SHINDE, G.B. et.al. (1980) [16400] ( used host: Rhinobatus granulatus)",Glaucostegus granulatus,Marsupiobothrium rhinobati,16400
"RUHNKE, T.R. et.al. (2006) [7406]",Glaucostegus granulatus,Orectolobicestus chiloscylli,7406
"SUBHAPRADHA, C.K. (1951) [16424] ( used host: Rhinobatus granulatus)",Glaucostegus granulatus,Polypocephalus affinis,16424
"JENSEN, K. (2005) [16338] ( used host: Rhinobatus granulatus)",Glaucostegus granulatus,Polypocephalus radiatus,16338
"SUBHAPRADHA, C.K. (1951) [16424] ( used host: Rhinobatus granulatus)",Glaucostegus granulatus,Polypocephalus rhinobatidis,16424
"GOLZARIANPOUR, K. et.al. (2021) [29351]",Glaucostegus granulatus,Rhinebothrium atabaki,29351
"GOLESTANINASAB, M. et.al. (2016) [24232]",Glaucostegus granulatus,Rhinebothrium kruppi,24232
"GOLESTANINASAB, M. et.al. (2016) [24232]",Glaucostegus granulatus,Rhinebothrium persicum,24232
"GOLESTANINASAB, M. et.al. (2014) [20454]",Glaucostegus granulatus,Rhinebothrium sp,20454
"SUBHAPRADHA, C.K. (1955) [16423] (used parasite: Phyllobothrium chiloscyllii )",Glaucostegus granulatus,Scyphophyllidium chiloscyllii,16423
"WILLIAMS, H.H. (1968) [16443] (used parasite: Phyllobothrium chiloscyllii | used host: Rhinobatus granulatus)",Glaucostegus granulatus,Scyphophyllidium chiloscyllii,16443
"DESHMUKH, R.A. (1980) [16231] (used parasite: Spinocephalum rhinobatii | used host: Rhinobatus granulatus)",Glaucostegus granulatus,Tylocephalum rhinobatii,16231
"LI, L. et.al. (2012) [15762]",Glaucostegus granulatus,Mawsonascaris zhoui,15762
"SUBHAPRADHA, C.K. (1955) [16423] ( used host: Rhinobatus halavi)",Glaucostegus halavi,Anthobothrium crenulatum,16423
"SOUTHWELL, T. (1927) [16410] ( used host: Rhynchobatus halavi)",Glaucostegus halavi,Echinobothrium affine,16410
"PALM, H.W. (2004) [16112] ( used host: Rhinobatos halavi)",Glaucostegus halavi,Grillotia Christianella,16112
"CAMPBELL, R.A. et.al. (1990) [16280] ( used host: Rhinobatos halavi)",Glaucostegus halavi,Pseudochristianella southwelli,16280
"PALM, H.W. (2004) [16112] ( used host: Rhinobatos halavi)",Glaucostegus halavi,Pseudochristianella southwelli,16112
"SANTANDER-NETO, J. et.al. (2013) [19356]",Glaucostegus halavi,Caligus dasyaticus,19356
"HENDERSON, A.C. et.al. (2013) [19355]",Glaucostegus halavi,Caligus dasyaticus,19355
"MOREIRA, P.S. et.al. (1978) [23898] ( used host: Rhinobatos halavi)",Glaucostegus halavi,Praniza rhinobatis,23898
"CHISHOLM, L.A. et.al. (2005) [7581] ( used host: Rhinobatos thouin)",Glaucostegus thouin,Empruthotrema dasyatidis,7581
"CHISHOLM, L.A. et.al. (2012) [15785] (used parasite: Merizocotyle icopae )",Glaucostegus thouin,Mycteronastes icopae,15785
"SCHAEFFNER, B.C. et.al. (2013) [19694]",Glaucostegus thouin,Dollfusiella michiae,19694
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Glaucostegus thouin,Dollfusiella spinulifera,21816
"IVANOV, V.A. et.al. (2012) [15660]",Glaucostegus thouin,Echinobothrium sematanense,15660
"CAIRA, J.N. et.al. (2013) [19536]",Glaucostegus thouin,Echinobothrium sematanense,19536
"CIELOCHA, J.J. et.al. (2014) [21566]",Glaucostegus thouin,Floriparicapitus plicatilis,21566
"JENSEN, K. et.al. (2016) [23959]",Glaucostegus thouin,Floriparicapitus sp,23959
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Glaucostegus thouin,Parachristianella indonesiensis,21816
"SCHAEFFNER, B.C. et.al. (2012) [17404]",Glaucostegus thouin,Prochristianella clarkeae,17404
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Glaucostegus thouin,Prochristianella clarkeae,21816
"SAWYER, R.T. et.al. (1975) [25687] ( used host: Rhinobatus thouini)",Glaucostegus thouin,Branchellion torpedinis,25687
"SAWYER, R.T. et.al. (1975) [17101] ( used host: Rhinobatos thouin)",Glaucostegus thouin,Branchellion torpedinis,17101
"GLEESON, R.J. et.al. (2010) [21484]",Glaucostegus typus,Kudoa hemiscylli,21484
"WHITTINGTON, I.D. et.al. (1989) [17453] ( used host: Rhinobatos batillium)",Glaucostegus typus,Calicotyle australis,17453
"CHISHOLM, L.A. et.al. (1997) [17436] ( used host: Rhinobatos typus)",Glaucostegus typus,Calicotyle australis,17436
"GLENNON, V. et.al. (2008) [11283] ( used host: Rhinobatos typus)",Glaucostegus typus,Calicotyle australis,11283
"WHITTINGTON, I.D. et.al. (2011) [13610]",Glaucostegus typus,Dermopristis cairae,13610
"KEARN, G.C. et.al. (2012) [15234]",Glaucostegus typus,Dermopristis cairae,15234
"BEVERLEY-BURTON, M. et.al. (1989) [17044] (used parasite: Merizocotyle icopae | used host: Rhinobatos batillium)",Glaucostegus typus,Mycteronastes icopae,17044
"CHISHOLM, L.A. et.al. (1996) [17438] (used parasite: Merizocotyle icopae | used host: Rhinobatos typus)",Glaucostegus typus,Mycteronastes icopae,17438
"CHISHOLM, L.A. (1998) [24082] (used parasite: Merizocotyle icopae | used host: Rhinobatos typus)",Glaucostegus typus,Mycteronastes icopae,24082
"CHISHOLM, L.A. et.al. (1999) [17002]",Glaucostegus typus,Mycteronastes icopae,17002
"CHISHOLM, L.A. et.al. (2000) [10849] (used parasite: Merizocotyle icopae | used host: Rhinobatos typus)",Glaucostegus typus,Mycteronastes icopae,10849
"CHISHOLM, L.A. et.al. (2001) [23992] (used parasite: Merizocotyle icopae | used host: Rhinobatos typus)",Glaucostegus typus,Mycteronastes icopae,23992
"HAMWOOD, T.E. et.al. (2002) [15261] (used parasite: Merizocotyle icopae | used host: Rhinobatos typus)",Glaucostegus typus,Mycteronastes icopae,15261
"CHISHOLM, L.A. et.al. (2002) [21453] (used parasite: Merizocotyle icopae | used host: Rhinobatos typus)",Glaucostegus typus,Mycteronastes icopae,21453
"CHISHOLM, L.A. et.al. (2003) [10850] (used parasite: Merizocotyle icopae | used host: Rhinobatos typus)",Glaucostegus typus,Mycteronastes icopae,10850
"WHITTINGTON, I.D. et.al. (2004) [21289] (used parasite: Merizocotyle icopae | used host: Rhinobatos typus)",Glaucostegus typus,Mycteronastes icopae,21289
"CHISHOLM, L.A. et.al. (2012) [15785]",Glaucostegus typus,Mycteronastes icopae,15785
"KRITSKY, D.C. et.al. (2017) [25877]",Glaucostegus typus,Mycteronastes icopae,25877
"KRITSKY, D.C. et.al. (2020) [29167]",Glaucostegus typus,Mycteronastes icopae,29167
"CHISHOLM, L.A. et.al. (1997) [17439]",Glaucostegus typus,Neoheterocotyle rhinobatidis,17439
"CHISHOLM, L.A. et.al. (1998) [17441]",Glaucostegus typus,Neoheterocotyle rhinobatidis,17441
"CHISHOLM, L.A. (1998) [24082] ( used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhinobatidis,24082
"CRIBB, B.W. et.al. (2001) [21422] ( used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhinobatidis,21422
"CHISHOLM, L.A. et.al. (2001) [23992] ( used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhinobatidis,23992
"CHISHOLM, L.A. et.al. (2002) [21453] ( used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhinobatidis,21453
"CHISHOLM, L.A. et.al. (1997) [17439] ( used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhynchobatis,17439
"CHISHOLM, L.A. et.al. (2001) [23992] ( used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhynchobatis,23992
"CHISHOLM, L.A. et.al. (2002) [21453] ( used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhynchobatis,21453
"KRITSKY, D.C. et.al. (2020) [29167]",Glaucostegus typus,Neoheterocotyle rhynchobatis,29167
"YOUNG, P.C. (1967) [17104] ( used host: Rhinobatos typus)",Glaucostegus typus,Troglocephalus rhinobatidis,17104
"KEARN, G.C. (1978) [11678] ( used host: Rhinobatos batillium)",Glaucostegus typus,Troglocephalus rhinobatidis,11678
"CHISHOLM, L.A. et.al. (1996) [17438] ( used host: Rhinobatos typus)",Glaucostegus typus,Troglocephalus rhinobatidis,17438
"CHISHOLM, L.A. (1998) [24082] ( used host: Rhinobatos typus)",Glaucostegus typus,Troglocephalus rhinobatidis,24082
"CHISHOLM, L.A. et.al. (2000) [10849] ( used host: Rhinobatos typus)",Glaucostegus typus,Troglocephalus rhinobatidis,10849
"CRIBB, B.W. et.al. (2001) [21422] ( used host: Rhinobatos typus)",Glaucostegus typus,Troglocephalus rhinobatidis,21422
"CHISHOLM, L.A. et.al. (2001) [23992] ( used host: Rhinobatos typus)",Glaucostegus typus,Troglocephalus rhinobatidis,23992
"HAMWOOD, T.E. et.al. (2002) [15261] ( used host: Rhinobatos typus)",Glaucostegus typus,Troglocephalus rhinobatidis,15261
"CHISHOLM, L.A. et.al. (2002) [21453] ( used host: Rhinobatos typus)",Glaucostegus typus,Troglocephalus rhinobatidis,21453
"KRITSKY, D.C. et.al. (2020) [29167]",Glaucostegus typus,Troglocephalus rhinobatidis,29167
"JADHAV, B.V. et.al. (1982) [16329] ( used host: Rhinobatus typus)",Glaucostegus typus,Balanobothrium rhinobati,16329
"JADHAV, B.V. et.al. (1982) [16329] ( used host: Rhinobatus typus)",Glaucostegus typus,Balanobothrium somnathai,16329
"JADHAV, B.V. et.al. (1979) [16160] ( used host: Rhinobatos typus)",Glaucostegus typus,Balanobothrium veravalensis,16160
"SCHAEFFNER, B.C. et.al. (2013) [19694] ( used host: Glaucostegus cf. typus)",Glaucostegus typus,Dollfusiella spinosa,19694
"SCHAEFFNER, B.C. et.al. (2014) [21816] ( used host: Glaucostegus cf. typus)",Glaucostegus typus,Dollfusiella spinosa,21816
"BEVERIDGE, I. et.al. (2000) [7371] (used parasite: Prochristianella spinulifera | used host: Rhinobatos typus)",Glaucostegus typus,Dollfusiella spinulifera,7371
"PALM, H.W. (2004) [16112] ( used host: Rhinobatos typus)",Glaucostegus typus,Dollfusiella spinulifera,16112
"ŚWIDERSKI, Z. et.al. (2006) [14409] ( used host: Rhinobatos typus)",Glaucostegus typus,Dollfusiella spinulifera,14409
"MIQUEL, J. et.al. (2006) [14410] ( used host: Rhinobatos typus)",Glaucostegus typus,Dollfusiella spinulifera,14410
"PALM, H.W. et.al. (2009) [15747] ( used host: Rhinobatos typus)",Glaucostegus typus,Dollfusiella spinulifera,15747
"JONES, M.K. et.al. (2001) [7379] ( used host: Rhinobatos typus)",Glaucostegus typus,Echinobothrium chisholmae,7379
"TYLER, G.A. (2006) [16430] ( used host: Rhinobatos typus)",Glaucostegus typus,Echinobothrium chisholmae,16430
"PALM, H.W. et.al. (2009) [15747] ( used host: Rhinobatos typus)",Glaucostegus typus,Echinobothrium chisholmae,15747
"IVANOV, V.A. et.al. (2012) [15660]",Glaucostegus typus,Echinobothrium chisholmae,15660
"CAIRA, J.N. et.al. (2013) [19536] (used parasite: Echinobothrium cf. chisholmae )",Glaucostegus typus,Echinobothrium chisholmae,19536
"CAIRA, J.N. et.al. (2013) [19536]",Glaucostegus typus,Echinobothrium chisholmae,19536
"TYLER, G.A. (2006) [16430] (used parasite: Macrobothridium rhynchobati | used host: Rhinobatos typus)",Glaucostegus typus,Echinobothrium rhynchobati,16430
"PALM, H.W. et.al. (2009) [15747] (used parasite: Macrobothridium rhynchobati | used host: Rhinobatos typus)",Glaucostegus typus,Echinobothrium rhynchobati,15747
"CAIRA, J.N. et.al. (2013) [19536] (used parasite: Echinobothrium cf. rhynchobati | used host: Glaucostegus cf. typus)",Glaucostegus typus,Echinobothrium rhynchobati,19536
"CAIRA, J.N. et.al. (2013) [19536] (used parasite: Echinobothrium cf. rhynchobati )",Glaucostegus typus,Echinobothrium rhynchobati,19536
"IVANOV, V.A. et.al. (2012) [15660]",Glaucostegus typus,Echinobothrium tetabuanense,15660
"CAIRA, J.N. et.al. (2013) [19536] ( used host: Glaucostegus cf. typus)",Glaucostegus typus,Echinobothrium tetabuanense,19536
"IVANOV, V.A. et.al. (2012) [15660]",Glaucostegus typus,Echinobothrium weipaense,15660
"CAIRA, J.N. et.al. (2013) [19536]",Glaucostegus typus,Echinobothrium weipaense,19536
"CIELOCHA, J.J. et.al. (2014) [21566]",Glaucostegus typus,Floriparicapitus plicatilis,21566
"JENSEN, K. et.al. (2016) [23959]",Glaucostegus typus,Floriparicapitus plicatilis,23959
"SCHAEFFNER, B.C. et.al. (2014) [21816] ( used host: Glaucostegus cf. typus)",Glaucostegus typus,Parachristianella baverstocki,21816
"SCHAEFFNER, B.C. et.al. (2014) [21816] ( used host: Glaucostegus cf. typus)",Glaucostegus typus,Parachristianella indonesiensis,21816
"SCHAEFFNER, B.C. et.al. (2014) [21816] ( used host: Glaucostegus cf. typus)",Glaucostegus typus,Parachristianella monomegacantha,21816
"SCHAEFFNER, B.C. et.al. (2012) [17404]",Glaucostegus typus,Prochristianella aciculata,17404
"SCHAEFFNER, B.C. et.al. (2012) [17404]",Glaucostegus typus,Prochristianella clarkeae,17404
"BUTLER, S.A. (1987) [13130] (used parasite: Anthobothrium amuletum | used host: Rhinobatos armatus)",Glaucostegus typus,Stillabothrium amuletum,13130
"REYDA, F.B. et.al. (2016) [24898]",Glaucostegus typus,Stillabothrium amuletum,24898
"CRIBB, T.H. et.al. (2017) [25781]",Glaucostegus typus,Myliobaticola sp,25781
"YOUNG, P.C. (1967) [17104] (used parasite: Horricauda rhinobatidis | used host: Rhinobatos typus batillum)",Glaucostegus typus,Neoheterocotyle rhinobatidis,17104
"KEARN, G.C. (1978) [11678] (used parasite: Horricauda rhinobatidis | used host: Rhinobatos batillium)",Glaucostegus typus,Neoheterocotyle rhinobatidis,11678
"CHISHOLM, L.A. et.al. (1996) [17438] (used parasite: Horricauda rhinobatidis | used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhinobatidis,17438
"CHISHOLM, L.A. et.al. (2000) [10849] (used parasite: Horricauda rhinobatidis | used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhinobatidis,10849
"HAMWOOD, T.E. et.al. (2002) [15261] (used parasite: Horricauda rhinobatidis | used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhinobatidis,15261
"CHISHOLM, L.A. et.al. (2003) [10850] (used parasite: Horricauda rhinobatidis | used host: Rhinobatos typus)",Glaucostegus typus,Neoheterocotyle rhinobatidis,10850
"CUTMORE, S.C. et.al. (2018) [26748]",Glaucostegus typus,Ogawaia glaucostegi,26748
"WARREN, M.B. et.al. (2019) [28146]",Glaucostegus typus,Ogawaia glaucostegi,28146
"SPRENT, J.F.A. (1990) [21225] ( used host: Rhinobatos batillum)",Glaucostegus typus,Mawsonascaris australis,21225
"BRUCE, N.L. et.al. (1994) [17029] ( used host: Rhinobatos batillum)",Glaucostegus typus,Mawsonascaris australis,17029
"BOXSHALL, G. (2018) [26229]",Glaucostegus typus,Caligus furcisetifer,26229
"KIK, M.J.L. et.al. (2011) [13845] ( used host: Rhinobatos typus)",Glaucostegus typus,Lepeophtheirus acutus,13845
"KABATA, Z. (1993) [17875] (used parasite: Paeon australis | used host: Rhinobatos batillum)",Glaucostegus typus,Tripaphylus australis,17875
"ARTHUR, J.R. et.al. (2002) [17190]",Glyphis gangeticus,Disculiceps pileatus,17190
"PALM, H.W. et.al. (1999) [17850] (used parasite: Nybelinia perideraeus | used host: Carcharhinus gangeticus)",Glyphis gangeticus,Heteronybelinia perideraeus,17850
"PALM, H.W. (2004) [16112]",Glyphis gangeticus,Heteronybelinia perideraeus,16112
"PALM, H.W. (1999) [16366] (used parasite: Nybelinia scoliodoni )",Glyphis gangeticus,Nybelinia indica,16366
"PALM, H.W. (2004) [16112]",Glyphis gangeticus,Nybelinia indica,16112
"ARTHUR, J.R. et.al. (2002) [17190] (used parasite: Poecilancistrium ilishae )",Glyphis gangeticus,Poecilancistrium caryophyllum,17190
"PALM, H.W. (2004) [16112]",Glyphis gangeticus,Poecilancistrium caryophyllum,16112
"CRESSEY, R.F. (1967) [16599] (used parasite: Pandarus carcharini | used host: Carcharinus gangeticus)",Glyphis gangeticus,Pandarus carcharhini,16599
"NACARI, L.A. et.al. (2018) [26202]",Gurgesiella furvescens,Acanthocotyle gurgesiella,26202
"NEIFAR, L. et.al. (2001) [21202]",Gymnura altavela,Heteronchocotyle gymnurae,21202
"LINTON, E. (1905) [17126] ( used host: Pteroplatea maclura)",Gymnura altavela,Acanthobothrium paulum,17126
"WILLIAMS, H.H. (1969) [16448] ( used host: Pteroplatea maclura)",Gymnura altavela,Acanthobothrium paulum,16448
"NEIFAR, L. et.al. (2002) [9441]",Gymnura altavela,Anthobothrium altavelae,9441
"CAMPBELL, R.A. et.al. (1997) [16127]",Gymnura altavela,Pterobothrioides petterae,16127
"PALM, H.W. (2004) [16112]",Gymnura altavela,Pterobothrioides petterae,16112
"DOLLFUS, R.-P. (1942) [16126]",Gymnura altavela,Pterobothrium heteracanthum,16126
"PALM, H.W. (2004) [16112]",Gymnura altavela,Pterobothrium heteracanthum,16112
"DOLLFUS, R.-P. (1942) [16126]",Gymnura altavela,Pterobothrium lintoni,16126
"PALM, H.W. (2004) [16112]",Gymnura altavela,Pterobothrium lintoni,16112
"RAIBAUT, A. et.al. (1998) [16609]",Gymnura altavela,Eudactylina turgipes,16609
"CAMPBELL, R.A. et.al. (2002) [16128]",Gymnura australis,Acanthobothrium cribbi,16128
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Gymnura australis,Acanthobothrium cribbi,28741
"PALM, H.W. (2004) [16112]",Gymnura australis,Nybelinia sp,16112
"PALM, H.W. (2004) [16112]",Gymnura australis,Parotobothrium balli,16112
"BUTLER, S.A. (1987) [13130]",Gymnura australis,Tylocephalum sp,13130
"MARQUES, F. et.al. (1997) [7617] ( used host: Gymnura afuerae)",Gymnura crebripunctata,Acanthobothrium atahualpai,7617
"ALVES, P.V. et.al. (2017) [25154] ( used host: Gymnura afuerae)",Gymnura crebripunctata,Acanthobothrium atahualpai,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Gymnura afuerae)",Gymnura crebripunctata,Acanthobothrium atahualpai,28741
"CHISHOLM, L.A. (1998) [17001] ( used host: Gymnura bimaculata)",Gymnura japonica,Monocotyle undosocirrus,17001
"YAMAGUTI, S. (1952) [16129] ( used host: Pteroplatea japonica)",Gymnura japonica,Anthobothrium pteroplateae,16129
"TIAN, H.-M. et.al. (2008) [24952]",Gymnura japonica,Pterobothrium sp,24952
"PENG, W.-F. et.al. (2011) [21235]",Gymnura japonica,Echinocephalus pleroplatae,21235
"IZAWA, K. (2011) [14349]",Gymnura japonica,Eudactylina gymnuri,14349
"OTA, Y. et.al. (2012) [17188]",Gymnura japonica,Gnathia trimaculata,17188
"YOUNG, R.T. (1954) [16130]",Gymnura marmorata,Acanthobothrium parviuncinatum,16130
"GOLDSTEIN, R.J. (1967) [16175]",Gymnura marmorata,Acanthobothrium parviuncinatum,16175
"WILLIAMS, H.H. (1969) [16448]",Gymnura marmorata,Acanthobothrium parviuncinatum,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Gymnura marmorata,Acanthobothrium parviuncinatum,28741
"DEETS, G.B. et.al. (1989) [14624]",Gymnura marmorata,Trebius latifurcatus,14624
"KRITSKY, D.C. et.al. (2017) [25765]",Gymnura micrura,Empruthotrema longipenis,25765
"GOLDSTEIN, R.J. (1964) [16174]",Gymnura micrura,Acanthobothrium fogeli,16174
"GOLDSTEIN, R.J. (1967) [16175]",Gymnura micrura,Acanthobothrium fogeli,16175
"WILLIAMS, H.H. (1969) [16448]",Gymnura micrura,Acanthobothrium fogeli,16448
"MAYES, M.A. et.al. (1981) [16356]",Gymnura micrura,Acanthobothrium fogeli,16356
"ALVES, P.V. et.al. (2017) [25154]",Gymnura micrura,Acanthobothrium fogeli,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Gymnura micrura,Acanthobothrium fogeli,28741
"SARADA, S. et.al. (1993) [16219]",Gymnura micrura,Acanthobothrium giganticum,16219
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Gymnura micrura,Acanthobothrium giganticum,28741
"YAMAGUTI, S. (1952) [16129] ( used host: Pteroplatea micrura)",Gymnura micrura,Acanthobothrium micracantha,16129
"WILLIAMS, H.H. (1969) [16448]",Gymnura micrura,Acanthobothrium micracantha,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Gymnura micrura,Acanthobothrium micracantha,28741
"DESHMUKH, R.A. (1979) [16295] (used parasite: Uncibilocularis somnathii | used host: Pteroplatea micrura)",Gymnura micrura,Acanthobothrium somnathii,16295
"JENSEN, K. et.al. (2008) [16092] ( used host: Pteroplatea micrura)",Gymnura micrura,Acanthobothrium somnathii,16092
"SOUTHWELL, T. (1927) [16410] ( used host: Pteroplatea micrura)",Gymnura micrura,Cephalobothrium aetobatidis,16410
"ZAIDI, D.A. et.al. (1976) [16468]",Gymnura micrura,Halysiorhynchus macrocephalus,16468
"PALM, H.W. (2004) [16112]",Gymnura micrura,Halysiorhynchus macrocephalus,16112
"SOUTHWELL, T. (1911) [17129] (used parasite: Cephalobothrium abruptum | used host: Pteroplatea micrura)",Gymnura micrura,Hexacanalis abruptus,17129
"JENSEN, K. (2005) [16338]",Gymnura micrura,Hexacanalis abruptus,16338
"CIELOCHA, J.J. et.al. (2011) [13082]",Gymnura micrura,Hexacanalis abruptus,13082
"ZAIDI, D.A. et.al. (1976) [16468] (used parasite: Cephalobothrium pteroplateai | used host: Pteroplatea micrura)",Gymnura micrura,Hexacanalis pteroplateae,16468
"CIELOCHA, J.J. et.al. (2011) [13082]",Gymnura micrura,Hexacanalis pteroplateae,13082
"YAMAGUTI, S. (1952) [16129] ( used host: Pteroplatea micrura)",Gymnura micrura,Phyllobothrium bifidum,16129
"CAMPBELL, R.A. et.al. (1996) [16283]",Gymnura micrura,Pterobothrium lesteri,16283
"PALM, H.W. (2004) [16112]",Gymnura micrura,Pterobothrium lesteri,16112
"SCHAEFFNER, B.C. et.al. (2012) [15789]",Gymnura micrura,Pterobothrium lesteri,15789
"PALM, H.W. (2004) [16112]",Gymnura micrura,Pterobothrium lintoni,16112
"CAMPBELL, R.A. et.al. (1996) [16283]",Gymnura micrura,Pterobothrium southwelli,16283
