AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
341196,http://www.marinespecies.org/aphia.php?p=taxdetails&id=341196,Corynosoma shackletoni,"Zdzitowiecki, 1978",accepted,NA,220,Species,341196,Corynosoma shackletoni,"Zdzitowiecki, 1978",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma shackletoni Zdzitowiecki, 1978. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=341196 on 2021-07-16",urn:lsid:marinespecies.org:taxname:341196,1,NA,NA,NA,NA,exact,2008-03-21T13:35:35.343Z
1045645,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1045645,Corynosoma simile,"Neiland, 1962",accepted,NA,220,Species,1045645,Corynosoma simile,"Neiland, 1962",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma simile Neiland, 1962. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1045645 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1045645,1,NA,NA,NA,NA,exact,2017-11-24T16:43:04.193Z
448867,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448867,Corynosoma similis,"Neiland, 1962",unaccepted,Malformed suffix,220,Species,1045645,Corynosoma simile,"Neiland, 1962",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma similis Neiland, 1962. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448867 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448867,1,NA,NA,NA,NA,exact,2017-11-24T16:43:04.193Z
341234,http://www.marinespecies.org/aphia.php?p=taxdetails&id=341234,Corynosoma singularis,"Skryabin & Nikolskii, 1971",unaccepted,synonym (in part),220,Species,341189,Corynosoma bullosum,"(Linstow, 1892) Railliet & Henry, 1907",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma singularis Skryabin & Nikolskii, 1971. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=341234 on 2021-07-16",urn:lsid:marinespecies.org:taxname:341234,1,NA,NA,NA,NA,exact,2010-01-26T06:51:47.537Z
341232,http://www.marinespecies.org/aphia.php?p=taxdetails&id=341232,Corynosoma sipho,"Railliet & Henry, 1907",unaccepted,synonym,220,Species,341193,Corynosoma hamanni,"(Linstow, 1892) Railliet & Henry, 1907",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma sipho Railliet & Henry, 1907. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=341232 on 2021-07-16",urn:lsid:marinespecies.org:taxname:341232,1,NA,NA,NA,NA,exact,2010-01-26T06:51:47.537Z
448868,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448868,Corynosoma stanleyi,"Smales, 1986",accepted,NA,220,Species,448868,Corynosoma stanleyi,"Smales, 1986",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma stanleyi Smales, 1986. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448868 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448868,1,NA,NA,NA,NA,exact,2010-01-26T09:23:44.957Z
990009,http://www.marinespecies.org/aphia.php?p=taxdetails&id=990009,Corynosoma striatus,"Villot, 1875",unaccepted,Synonym,220,Species,100614,Corynosoma strumosum,"(Rudolphi, 1802) Lühe, 1904",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma striatus Villot, 1875. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=990009 on 2021-07-16",urn:lsid:marinespecies.org:taxname:990009,1,NA,NA,NA,NA,exact,2017-04-17T10:35:39.750Z
100614,http://www.marinespecies.org/aphia.php?p=taxdetails&id=100614,Corynosoma strumosum,"(Rudolphi, 1802) Lühe, 1904",accepted,NA,220,Species,100614,Corynosoma strumosum,"(Rudolphi, 1802) Lühe, 1904",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma strumosum (Rudolphi, 1802) Lühe, 1904. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=100614 on 2021-07-16",urn:lsid:marinespecies.org:taxname:100614,1,1,NA,1,NA,exact,2017-11-24T16:43:04.193Z
1424611,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1424611,Corynosoma tunita,"Weiss, 1914",unaccepted,Lapsus,220,Species,100590,Andracantha tunitae,"(Weiss, 1914) Zdzitowiecki, 1989",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma tunita Weiss, 1914. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1424611 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1424611,1,NA,NA,1,NA,exact,2020-03-12T14:50:04.843Z
448914,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448914,Corynosoma tunitae,"Weiss, 1914",unaccepted,Superseded combination,220,Species,100590,Andracantha tunitae,"(Weiss, 1914) Zdzitowiecki, 1989",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma tunitae Weiss, 1914. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448914 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448914,1,NA,NA,NA,NA,exact,2017-11-24T16:43:04.193Z
